Rank,Network,Address,Prizes,Balance,Winrate
202,0xd96f342392dc3da1ef160a19d3562611219cb56d,polygon,10,56,21.91%
203,0x327664f9dd327495930863bbc47c64980998e270,polygon,2208,12191,21.87%
204,0x9e04689ec4f4b6a8bdee305bcd0a93f8b908ea0d,polygon,109,611,21.73%
205,0x5102009e110466f69c1e82d0c64ef969339648d4,polygon,52,293,21.59%
206,0xc2620e2c2ba5e85c33b5da107eaa058a99f58a80,polygon,3426,19386,21.39%
207,0x5f441226beabef22137018e047f51051cc893208,polygon,85,482,21.39%
208,0x64bcca4ba670cb6777faf79a2406f655d85cf402,polygon,1673,9548,21.17%
209,0x6fed43575ae278d4a14229566898e06a774a5289,polygon,21,121,21.06%
210,0xb89729bc7eebbfad2f3dd073ee8f200d1116ae8b,polygon,845,4800,21.06%
211,0x4c5a3a7f0aa5e486d5d77a2cfbb325b22c6e69b1,polygon,4183,24183,20.91%
212,0x3aecd5fded57227ceee4258921f393c098a79902,polygon,35,203,20.89%
213,0xd449a5eee2c5bc7be0913379bd051c4ced10307b,polygon,1,6,20.83%
214,0x4f875a5298523d6f2a3d020e3798f7e0e1f750f0,polygon,15,58,20.82%
215,0x5cc6e185af81ed0d1265b47763ac4693270740e5,polygon,97,563,20.81%
216,0x30aad763e15cb6b4071a4d884e956797172cae42,polygon,21,123,20.51%
217,0x3756f9b4690ef223dba23ae0993d95c6f36325b7,polygon,64,376,20.51%
218,0x0c046c51bfb441b0db5ca4b0bb0178057715a54f,polygon,3271,19236,20.45%
219,0x088884cedbe9d48b9fb60de6e5e18a5cbb3e66a2,polygon,10,59,20.41%
220,0xe07e487d5a5e1098bbb4d259dac5ef83ae273f4e,polygon,3539,20942,20.34%
221,0x41bd4df299bb6d816368305d15177f796cad1768,polygon,203,1202,20.32%
222,0xec8b9d178c1d0c169115e746c9e8c12221d3ad5a,polygon,242,1433,20.31%
223,0x1191373a68810555342b08cb43fe695430ef4c7b,polygon,5,30,20.31%
224,0x818346bbd23dd1e74c326c2e23659055edc56ec8,polygon,56,332,20.29%
225,0x5a72bfaf8dd5b251bd008fdc0b4656319ac0509b,polygon,198,1181,20.14%
226,0xd02f0bf3ca487ef4965a99a8e4a5382eafe20526,polygon,1,6,20.13%
227,0x19f7d5befcb45543a42e721a5b8f8e3558e9852a,polygon,50,299,20.09%
228,0xa57d294c3a11fb542d524062ae4c5100e0e373ec,polygon,10,60,20.07%
229,0x52432473144056fe91aeae9240ad21e6b8213440,polygon,20,120,20.00%
230,0xba28ba2d2d54ed940a2873bf523d014653a715c0,polygon,5,30,20.00%
231,0x7f8ffc8d519043574d6ee5065dd40d3d9fd1b826,polygon,10,60,20.00%
232,0x7029d4e486264062c7c84e876f56441796cb80d9,polygon,10,60,20.00%
233,0xa13b1b8cc5893b5ef090ec20a356faea12a13a09,polygon,10,60,20.00%
234,0x6903efff109e9e053a87f728c6ae713674443c4b,polygon,10,60,20.00%
235,0x2791da0c100727a0b6428e08c08b253bb97313f7,avalanche,1,6,19.98%
236,0xedcc6ee9aa1b85f976b6dedf39b4f44cfd0f9324,polygon,3210,19188,19.90%
237,0xc963348a4bd4bfcf329fcc80d90f81bd574393b5,polygon,3141,12002,19.89%
238,0x98fccb418e2dbf307c7e97d2fb6bc61ca9d7f699,polygon,27,163,19.85%
239,0x1737a624e20c3474a4ade8cd5d304138e507fd27,polygon,2033,12278,19.84%
240,0x454e03bed1c6623f487708ff8bfd0cf1387dab32,polygon,2636,15948,19.80%
241,0xc7f7b55b64a21dd819723980f3bfdf57634a5cc3,polygon,333,2015,19.80%
242,0xba3cf2012a1a54b69b40b60ba586efadf6efb04a,polygon,161,976,19.75%
243,0xd00e612ffb02b2276701c0e097c2febf5f45a4ef,polygon,5,30,19.71%
244,0x2686886288ad4ef96ab4c9181e8ae1b889aaa539,polygon,428,2610,19.62%
245,0xd92a9a588638bea5094d0e325295c73b172312c5,polygon,16,98,19.55%
246,0x31efa403b983a83900d82ab063f915103ddd575a,polygon,154,951,19.31%
247,0xf01fc72364eb1ee032d468976c584ddd2e5dbf19,polygon,20,124,19.24%
248,0xc8f7c0dc39c8f736e8d9ffd85c4adcb3c7a4bf37,polygon,1594,9542,19.23%
249,0x93d86966a552764dc401c97e3e6edd1066def400,polygon,429,2669,19.15%
250,0xc989f812b597b9e8ed303764f7fc5d2aa4214ec4,polygon,25,158,18.83%
251,0xf5a502f771aeceebd98032fbb570594ffca3dbbb,polygon,202,1287,18.62%
252,0xf6210c444a1b0a4cd0946fb4b40a259ed6b3f699,polygon,130,829,18.61%
253,0x356ee97d7d560af2e97e9f9eee56b2e09d60e6f5,polygon,1443,9137,18.60%
254,0xc91f3b1a4c89391b2f89810617717d9fa7f59921,polygon,240,1469,18.57%
255,0x0f35af1184282eaffe1304c5f98158175f7f5889,polygon,1876,11865,18.54%
256,0x8a5efa3159cc0ef3d0f4032cfd15d14263d3fe05,polygon,20,128,18.49%
257,0x560a9b19abddf392347acf1029fcc25829ecf26d,polygon,220,1410,18.39%
258,0xff253f74a8ef104c1fedcb99442a1421cbc285fc,polygon,11,71,18.33%
259,0xb9e7b7601d2cea8f597e577b9869fd5905a639bc,polygon,10,65,18.18%
260,0x93676f0e810daf04b6d27d1a82c9ef641afdec85,polygon,2933,11818,18.18%
261,0x7ca5b9fd78f0d7db24620a6c51da3cc1a8d30898,polygon,145,944,18.15%
262,0x10ed98cc77e8e621fcd9fc7e28e48174f29d7db9,polygon,2917,18882,18.12%
263,0xb6fa0d615dd0338825e10da7efa069977c974d8c,polygon,3642,23625,18.11%
264,0x213398b42fa9f344574f9964a6b0774f52b393c6,polygon,1804,11799,17.99%
265,0x34be6bb3f0d3db56f76c7d8722407f61a8d44e46,polygon,1810,11806,17.99%
266,0xc66293c36e206e2205375bf08ba8918a2169c520,polygon,1867,12235,17.95%
267,0xeeb9565c8d8db8aeb3448d6ec75e7a7d6c96bda6,polygon,997,5897,17.94%
268,0x187ef37ac7942be5d1d21a892488e627ad81a9d0,polygon,308,2031,17.88%
269,0x06bc9130c167901cfb6995db08dcb54c802ec29c,polygon,5,33,17.86%
270,0xa02a1b6cdb290720596dae852b70cb231d1afe93,polygon,15,99,17.86%
271,0x2e9b07034a984e1e6204136a8787db3acb4db0e4,polygon,175,1123,17.83%
272,0x2ea1e2c2da2d31f271358e64a7e0feefaed607e4,polygon,50,330,17.83%
273,0x853afef7a321712dd18a4964a6f10150798a4b9f,polygon,539,3583,17.70%
274,0x1bc6955e458927b30eeeb6dace42887798e69b3b,polygon,556,3700,17.68%
275,0xa8afffdffb30c29db59788d357d778dd4210feea,polygon,3462,23064,17.66%
276,0x73aefe5a56e15ecf8708aae3a8b71852d596fcde,polygon,17,80,17.65%
277,0x45a117fbf330559c79b26a6127a665f38533f3d5,polygon,30,201,17.54%
278,0x0857d7771aa13a0988f7aac9d72bfeea6b69d73c,polygon,59,396,17.51%
279,0x3e1ff895fd5a1d9c284060e8866d9a647f55ac55,polygon,16,107,17.51%
280,0x84121b97942655c622f8105bb499a7b9cb2718be,polygon,234,1572,17.49%
281,0xa92a34360ff605a7012e946e148b86cf0923eab2,polygon,3737,25125,17.40%
282,0xc7e36bc2f80543b6c244b147606f9501da6c6561,polygon,3005,20305,17.36%
283,0x16e3a8d05dd429c603ea88d5c898d822ac5a7469,polygon,21,142,17.30%
284,0xa5b5d9eb088b1bb24be798d8d71eb58becc15393,polygon,7,48,17.28%
285,0x5d59ec45d49be6cda10fd82fa4794baaad062aad,polygon,88,600,17.18%
286,0xe42f92a3a36a2ac5a5c8af3ab82335d16bf5f111,polygon,17,117,17.00%
287,0x1ef59c1ca138abad53d3a5aa3b26cd8be39b0156,polygon,10,69,16.97%
288,0x42f3a946dc469e90e14c2f907b9d0aea35fdb9ea,polygon,244,1688,16.90%
289,0x2ebe0b56db4e962a9a61c2e5301afeba89b84d87,polygon,404,2795,16.89%
290,0xfd5a8472c5fc98cd91a716a3205a6b407730d388,polygon,4419,30193,16.85%
291,0x990cfcc451843331e7e834505cdaffa87eb45085,polygon,11,76,16.84%
292,0xf1134868b55a1a448dd7f9ceed943a5f354b1c37,polygon,143,993,16.82%
293,0x425f5be3f74e0ecd9b6fce247983882e8506d36b,polygon,170,1185,16.75%
294,0x0d963a2fff5bc62d7ab0ed3ae0a169651c059e34,polygon,10,70,16.73%
295,0xde107b82e3e47ed281d276644b8115548c085c24,polygon,968,6782,16.65%
296,0x16daad48d1b8e8c1af7ac7abf6bc0d01450f2db0,polygon,1671,11664,16.61%
297,0x7cfde52143b52f8d0f461bcc09d79b1e36bb6878,avalanche,5,35,16.59%
298,0xb5ae2c93b57e54b300ce770d374949b283c8737b,polygon,170,1164,16.52%
299,0x5e4568c4d8343052a06ec8aab1e124af08b73248,polygon,34,240,16.49%
300,0x6ae03d1d3a9b161ec264c76ad73999ee25abec5a,polygon,1455,10288,16.47%
301,0x8b7230f45209306aee243cb0fee41438f1e15f94,polygon,10,71,16.47%
302,0x65bd6b75f144d03356b72834b7b2c3b0b52200a4,polygon,1654,11650,16.43%
303,0x037343879ca2c1d0078038549ee042046f32243f,polygon,206,1164,16.40%
304,0x24f2e56c2a576d71b997b4cba8fd555ad39eac84,polygon,63,449,16.33%
305,0x595ffb4e0738f4976a82dc9cd5158ac1eecdebf1,polygon,15,107,16.31%
306,0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,polygon,68,486,16.28%
307,0x513c09b8cd93bd366b73bc078267ec1c8b5923ed,polygon,1469,10464,16.27%
308,0xc6c9d802bc16d8746aafcac4781f9a8d442d585d,polygon,20,143,16.26%
309,0xe99d27c9b3bd08de7f051e516580c93937c5ec7c,polygon,162,1162,16.20%
